"Game_id","Team_id","Player_id","x_0","y_0","x_1","y_1","Throw_outcome","Possession_outcome"
"2021-06-05-BOS-PIT",219,9444,-2.19,60.07,-4.01,65.38,"Completion",0
"2021-06-05-BOS-PIT",219,8950,-4.01,65.38,10.05,109.22,"Turnover",0
"2021-06-05-BOS-PIT",219,8943,-21.72,20.16,2.04,18.93,"Completion",0
"2021-06-05-BOS-PIT",219,8946,2.04,18.93,-14.29,13.54,"Completion",0
"2021-06-05-BOS-PIT",219,8934,-14.29,13.54,-22.45,15.43,"Completion",0
"2021-06-05-BOS-PIT",219,9443,-22.45,15.43,-10.79,20,"Completion",0
"2021-06-05-BOS-PIT",219,8923,-10.79,20,-12.17,102.59,"Turnover",0
"2021-06-05-BOS-PIT",219,8928,15.37,96.84,24.33,104.49,"Goal",1
"2021-06-05-BOS-PIT",219,9444,-12.97,21.55,-12.97,21.55,"Completion",0
"2021-06-05-BOS-PIT",219,8928,-12.97,21.55,14.28,33.56,"Completion",0
"2021-06-05-BOS-PIT",219,9443,14.28,33.56,14.28,43.03,"Completion",0
"2021-06-05-BOS-PIT",219,8928,14.28,43.03,0.8,43.25,"Completion",0
"2021-06-05-BOS-PIT",219,9443,0.8,43.25,-3.58,59.56,"Turnover",0
"2021-06-05-BOS-PIT",219,9446,4.88,18.78,0.8,31.23,"Completion",0
"2021-06-05-BOS-PIT",219,8950,0.8,31.23,23.82,42.23,"Completion",0
"2021-06-05-BOS-PIT",219,8939,23.82,42.23,15.59,83.66,"Turnover",0
"2021-06-05-BOS-PIT",219,8928,0,40,-0.44,31.45,"Completion",1
"2021-06-05-BOS-PIT",219,8937,-0.44,31.45,9.32,35.89,"Completion",1
"2021-06-05-BOS-PIT",219,8928,9.32,35.89,21.34,46.16,"Completion",1
"2021-06-05-BOS-PIT",219,8937,21.34,46.16,19.16,38.51,"Completion",1
"2021-06-05-BOS-PIT",219,8928,19.16,38.51,8.01,33.71,"Completion",1
"2021-06-05-BOS-PIT",219,8937,8.01,33.71,-1.83,29.34,"Completion",1
"2021-06-05-BOS-PIT",219,8928,-1.83,29.34,5.9,28.03,"Completion",1
"2021-06-05-BOS-PIT",219,8934,5.9,28.03,-17.93,36.77,"Completion",1
"2021-06-05-BOS-PIT",219,9577,-17.93,36.77,-22.88,54.46,"Completion",1
"2021-06-05-BOS-PIT",219,8937,-22.88,54.46,-23.39,109.95,"Goal",1
"2021-06-05-BOS-PIT",219,8950,3.78,66.4,-19.02,75.07,"Completion",1
"2021-06-05-BOS-PIT",219,8942,-19.02,75.07,-21.13,89.12,"Completion",1
"2021-06-05-BOS-PIT",219,9444,-21.13,89.12,-15.31,78.93,"Completion",1
"2021-06-05-BOS-PIT",219,8950,-15.31,78.93,4.29,75,"Completion",1
"2021-06-05-BOS-PIT",219,8929,4.29,75,-9.04,88.68,"Completion",1
"2021-06-05-BOS-PIT",219,8926,-9.04,88.68,14.79,80.97,"Completion",1
"2021-06-05-BOS-PIT",219,8950,14.79,80.97,21.63,93.34,"Completion",1
"2021-06-05-BOS-PIT",219,8926,21.63,93.34,23.6,103.68,"Goal",1
"2021-06-05-BOS-PIT",219,8934,-1.9,13.61,-3.94,29.85,"Completion",1
"2021-06-05-BOS-PIT",219,8928,-3.94,29.85,20.4,36.04,"Completion",1
"2021-06-05-BOS-PIT",219,8923,20.4,36.04,3.86,30.72,"Completion",1
"2021-06-05-BOS-PIT",219,8934,3.86,30.72,5.46,43.54,"Completion",1
"2021-06-05-BOS-PIT",219,8945,5.46,43.54,-4.01,46.96,"Completion",1
