"X_0","Y_0","X","Y","Score_Prob"
2,-20,1,95,NA
3,-20,1,95,NA
4,-20,1,95,NA
5,-20,1,95,NA
6,-20,1,95,NA
7,-20,1,95,NA
8,-20,1,95,NA
9,-20,1,95,NA
10,-20,1,95,NA
1,95,2,95,0.45
2,95,2,95,0.36
3,95,2,95,0.33
4,95,2,95,0.33
5,95,2,95,0.34
6,95,2,95,0.29
7,95,2,95,0.31
8,95,2,95,0.38
9,95,2,95,0.46
10,95,2,95,0.43
1,90,2,95,0.46
2,90,2,95,0.4
3,90,2,95,0.33
4,90,2,95,0.35
5,90,2,95,0.33
6,90,2,95,0.32
7,90,2,95,0.35
8,90,2,95,0.39
9,90,2,95,0.43
10,90,2,95,0.43
1,85,2,95,0.45
2,85,2,95,0.39
3,85,2,95,0.36
4,85,2,95,0.32
5,85,2,95,0.32
6,85,2,95,0.34
7,85,2,95,0.36
8,85,2,95,0.42
9,85,2,95,0.46
10,85,2,95,0.42
1,80,2,95,0.45
2,80,2,95,0.36
3,80,2,95,0.36
4,80,2,95,0.33
5,80,2,95,0.36
6,80,2,95,0.35
7,80,2,95,0.39
8,80,2,95,0.4
9,80,2,95,0.46
10,80,2,95,0.41
1,75,2,95,0.44
2,75,2,95,0.41
3,75,2,95,0.35
4,75,2,95,0.38
5,75,2,95,0.4
6,75,2,95,0.36
7,75,2,95,0.41
8,75,2,95,0.43
9,75,2,95,0.47
10,75,2,95,0.43
1,70,2,95,0.44
2,70,2,95,0.4
3,70,2,95,0.38
4,70,2,95,0.4
5,70,2,95,0.44
6,70,2,95,0.38
7,70,2,95,0.46
8,70,2,95,0.43
9,70,2,95,0.46
10,70,2,95,0.44
1,65,2,95,0.47
2,65,2,95,0.4
3,65,2,95,0.38
4,65,2,95,0.38
5,65,2,95,0.47
6,65,2,95,0.41
7,65,2,95,0.46
8,65,2,95,0.39
9,65,2,95,0.46
10,65,2,95,0.46
1,60,2,95,0.46
2,60,2,95,0.4
3,60,2,95,0.41
4,60,2,95,0.43
5,60,2,95,0.49
6,60,2,95,0.41
7,60,2,95,0.42
8,60,2,95,0.41
9,60,2,95,0.45
10,60,2,95,0.44
1,55,2,95,0.45
2,55,2,95,0.39
3,55,2,95,0.39
4,55,2,95,0.41
5,55,2,95,0.48
6,55,2,95,0.46
7,55,2,95,0.4
8,55,2,95,0.39
9,55,2,95,0.47
10,55,2,95,0.49
1,50,2,95,0.47
2,50,2,95,0.45
3,50,2,95,0.43
4,50,2,95,0.42
5,50,2,95,0.44
6,50,2,95,0.46
7,50,2,95,0.4
8,50,2,95,0.45
9,50,2,95,0.48
10,50,2,95,0.49
1,45,2,95,0.44
2,45,2,95,0.41
3,45,2,95,0.44
4,45,2,95,0.43
5,45,2,95,0.45
6,45,2,95,0.46
7,45,2,95,0.41
8,45,2,95,0.46
9,45,2,95,0.47
10,45,2,95,0.49
1,40,2,95,0.45
2,40,2,95,0.38
3,40,2,95,0.47
4,40,2,95,0.49
5,40,2,95,0.48
6,40,2,95,0.48
7,40,2,95,0.46
8,40,2,95,0.47
9,40,2,95,0.43
10,40,2,95,0.48
1,35,2,95,0.46
2,35,2,95,0.43
3,35,2,95,0.45
4,35,2,95,0.47
5,35,2,95,0.51
6,35,2,95,0.45
7,35,2,95,0.42
8,35,2,95,0.44
9,35,2,95,0.45
10,35,2,95,0.5
1,30,2,95,0.44
2,30,2,95,0.4
3,30,2,95,0.43
4,30,2,95,0.43
5,30,2,95,0.49
6,30,2,95,0.47
7,30,2,95,0.4
8,30,2,95,0.41
9,30,2,95,0.49
10,30,2,95,0.49
1,25,2,95,0.45
2,25,2,95,0.43
3,25,2,95,0.46
4,25,2,95,0.43
5,25,2,95,0.48
6,25,2,95,0.44
7,25,2,95,0.38
8,25,2,95,0.43
9,25,2,95,0.49
10,25,2,95,0.51
1,20,2,95,0.5
2,20,2,95,0.46
3,20,2,95,0.45
4,20,2,95,0.41
5,20,2,95,0.49
6,20,2,95,0.47
7,20,2,95,0.44
8,20,2,95,0.45
9,20,2,95,0.49
10,20,2,95,0.55
1,15,2,95,0.52
2,15,2,95,0.45
3,15,2,95,0.47
4,15,2,95,0.43
5,15,2,95,0.45
6,15,2,95,0.45
7,15,2,95,0.46
8,15,2,95,0.49
9,15,2,95,0.46
10,15,2,95,0.57
1,10,2,95,0.51
2,10,2,95,0.49
3,10,2,95,0.53
4,10,2,95,0.46
5,10,2,95,0.47
6,10,2,95,0.44
7,10,2,95,0.45
8,10,2,95,0.48
9,10,2,95,0.5
10,10,2,95,0.55
1,5,2,95,0.51
2,5,2,95,0.5
3,5,2,95,0.53
4,5,2,95,0.45
5,5,2,95,0.48
6,5,2,95,0.48
7,5,2,95,0.45
8,5,2,95,0.51
9,5,2,95,0.52
10,5,2,95,0.56
1,0,2,95,0.53
2,0,2,95,0.52
3,0,2,95,0.57
4,0,2,95,0.48
5,0,2,95,0.47
6,0,2,95,0.48
7,0,2,95,0.47
8,0,2,95,0.49
9,0,2,95,0.52
10,0,2,95,0.55
1,-5,2,95,NA
2,-5,2,95,NA
3,-5,2,95,NA
4,-5,2,95,NA
5,-5,2,95,NA
6,-5,2,95,NA
7,-5,2,95,NA
8,-5,2,95,NA
9,-5,2,95,NA
10,-5,2,95,NA
1,-10,2,95,NA
2,-10,2,95,NA
3,-10,2,95,NA
4,-10,2,95,NA
5,-10,2,95,NA
6,-10,2,95,NA
7,-10,2,95,NA
8,-10,2,95,NA
9,-10,2,95,NA
10,-10,2,95,NA
1,-15,2,95,NA
2,-15,2,95,NA
3,-15,2,95,NA
4,-15,2,95,NA
5,-15,2,95,NA
6,-15,2,95,NA
7,-15,2,95,NA
8,-15,2,95,NA
9,-15,2,95,NA
10,-15,2,95,NA
1,-20,2,95,NA
2,-20,2,95,NA
3,-20,2,95,NA
4,-20,2,95,NA
5,-20,2,95,NA
6,-20,2,95,NA
7,-20,2,95,NA
8,-20,2,95,NA
9,-20,2,95,NA
10,-20,2,95,NA
1,95,3,95,0.5
2,95,3,95,0.42
3,95,3,95,0.36
4,95,3,95,0.3
5,95,3,95,0.39
6,95,3,95,0.36
7,95,3,95,0.35
8,95,3,95,0.43
9,95,3,95,0.43
10,95,3,95,0.49
1,90,3,95,0.49
2,90,3,95,0.44
3,90,3,95,0.35
4,90,3,95,0.31
5,90,3,95,0.36
6,90,3,95,0.36
7,90,3,95,0.35
8,90,3,95,0.42
9,90,3,95,0.45
10,90,3,95,0.48
1,85,3,95,0.47
2,85,3,95,0.42
3,85,3,95,0.3
4,85,3,95,0.38
5,85,3,95,0.38
6,85,3,95,0.36
7,85,3,95,0.35
8,85,3,95,0.43
9,85,3,95,0.45
10,85,3,95,0.48
1,80,3,95,0.45
2,80,3,95,0.45
3,80,3,95,0.33
4,80,3,95,0.36
5,80,3,95,0.39
6,80,3,95,0.38
7,80,3,95,0.36
8,80,3,95,0.42
9,80,3,95,0.47
10,80,3,95,0.48
1,75,3,95,0.45
2,75,3,95,0.43
3,75,3,95,0.32
4,75,3,95,0.39
5,75,3,95,0.38
6,75,3,95,0.4
7,75,3,95,0.39
8,75,3,95,0.44
9,75,3,95,0.49
10,75,3,95,0.52
1,70,3,95,0.46
2,70,3,95,0.44
3,70,3,95,0.35
4,70,3,95,0.41
5,70,3,95,0.41
6,70,3,95,0.42
7,70,3,95,0.43
8,70,3,95,0.42
9,70,3,95,0.49
10,70,3,95,0.48
1,65,3,95,0.43
2,65,3,95,0.43
3,65,3,95,0.35
4,65,3,95,0.39
5,65,3,95,0.46
6,65,3,95,0.42
7,65,3,95,0.43
8,65,3,95,0.41
9,65,3,95,0.48
10,65,3,95,0.52
1,60,3,95,0.46
2,60,3,95,0.43
3,60,3,95,0.42
4,60,3,95,0.38
5,60,3,95,0.43
6,60,3,95,0.42
7,60,3,95,0.4
8,60,3,95,0.45
9,60,3,95,0.47
10,60,3,95,0.46
1,55,3,95,0.49
2,55,3,95,0.45
3,55,3,95,0.4
4,55,3,95,0.37
5,55,3,95,0.41
6,55,3,95,0.42
7,55,3,95,0.41
8,55,3,95,0.4
9,55,3,95,0.47
10,55,3,95,0.49
1,50,3,95,0.49
2,50,3,95,0.45
3,50,3,95,0.38
4,50,3,95,0.37
